Date, Node Type, Nodes Count
2011-02, {http://www.alfresco.org/model/content/1.0}folder, 14
2011-02, {http://www.alfresco.org/model/content/1.0}content, 8
2011-02, {http://www.alfresco.org/model/site/1.0}site, 1
2011-02, {http://www.alfresco.org/model/content/1.0}thumbnail, 10
2011-02, {http://www.alfresco.org/model/forum/1.0}forum, 1
2011-02, {http://www.alfresco.org/model/forum/1.0}topic, 3
2011-02, {http://www.alfresco.org/model/forum/1.0}post, 7
2011-02, {http://www.alfresco.org/model/linksmodel/1.0}link, 2
2011-02, {http://www.alfresco.org/model/datalist/1.0}dataList, 2
2011-02, {http://www.alfresco.org/model/datalist/1.0}issue, 4
2011-02, {http://www.alfresco.org/model/datalist/1.0}todoList, 4
2011-03, {http://www.alfresco.org/model/content/1.0}folder, 1
2011-03, {http://www.alfresco.org/model/content/1.0}content, 21
2011-03, {http://www.alfresco.org/model/content/1.0}thumbnail, 25
2011-03, {http://www.alfresco.org/model/datalist/1.0}todoList, 1
2011-06, {http://www.alfresco.org/model/content/1.0}folder, 5
2011-06, {http://www.alfresco.org/model/content/1.0}content, 10
2015-09, {http://www.alfresco.org/model/content/1.0}content, 2
2015-09, {http://www.alfresco.org/model/content/1.0}thumbnail, 2
2023-01, {http://www.alfresco.org/model/content/1.0}folder, 53
2023-01, {http://www.alfresco.org/model/content/1.0}category_root, 1
2023-01, {http://www.alfresco.org/model/content/1.0}category, 335
2023-01, {http://www.alfresco.org/model/content/1.0}content, 139
2023-01, {http://www.alfresco.org/model/content/1.0}systemfolder, 4
2023-01, {http://www.alfresco.org/model/rule/1.0}rule, 3
2023-01, {http://www.alfresco.org/model/action/1.0}compositeaction, 3
2023-01, {http://www.alfresco.org/model/action/1.0}actioncondition, 3
2023-01, {http://www.alfresco.org/model/action/1.0}actionparameter, 129
2023-01, {http://www.alfresco.org/model/action/1.0}action, 10
2023-01, {http://www.alfresco.org/model/site/1.0}sites, 1
2023-01, {http://www.alfresco.org/model/content/1.0}zone, 3
2023-01, {http://www.alfresco.org/model/transfer/1.0}transferGroup, 1
2023-01, {http://www.alfresco.org/model/content/smartfolder/1.0}smartFolderTemplate, 1
2023-01, {http://www.alfresco.org/model/content/1.0}thumbnail, 2
2023-01, {http://www.alfresco.org/model/solrfacet/1.0}facets, 1
2023-02, {http://www.alfresco.org/model/content/1.0}folder, 11
2023-02, {http://www.alfresco.org/model/content/1.0}content, 16
2023-02, {http://www.alfresco.org/model/content/1.0}zone, 1
2023-03, {http://www.alfresco.org/model/content/1.0}folder, 6
2023-03, {http://www.alfresco.org/model/content/1.0}content, 13
2023-03, {http://www.alfresco.org/model/content/1.0}thumbnail, 4
2023-04, {http://www.alfresco.org/model/content/1.0}folder, 9
2023-04, {http://www.alfresco.org/model/content/1.0}content, 13
2023-04, {http://www.alfresco.org/model/content/1.0}systemfolder, 1
2023-04, {http://www.alfresco.org/model/site/1.0}site, 1
2023-04, {http://www.alfresco.org/model/content/1.0}thumbnail, 2
2023-04, {http://www.alfresco.org/model/bpm/1.0}package, 1
2023-05, {http://www.alfresco.org/model/content/1.0}folder, 6
2023-05, {http://www.alfresco.org/model/content/1.0}content, 21
2023-05, {http://www.alfresco.org/model/content/1.0}systemfolder, 1
2023-05, {http://www.alfresco.org/model/rule/1.0}rule, 1
2023-05, {http://www.alfresco.org/model/action/1.0}compositeaction, 1
2023-05, {http://www.alfresco.org/model/action/1.0}actioncondition, 1
2023-05, {http://www.alfresco.org/model/action/1.0}actionparameter, 2
2023-05, {http://www.alfresco.org/model/action/1.0}action, 1
2023-05, {http://www.alfresco.org/model/content/1.0}thumbnail, 17
2023-05, {http://www.tieto.com/model/documentRevisionContentModel/1.0}supportDocument, 3
2023-08, {http://www.alfresco.org/model/content/1.0}folder, 3
2023-08, {http://www.alfresco.org/model/content/1.0}content, 11
2023-09, {http://www.alfresco.org/model/content/1.0}folder, 8
2023-09, {http://www.alfresco.org/model/content/1.0}content, 12
2023-09, {http://www.alfresco.org/model/content/1.0}systemfolder, 1
2023-09, {http://www.alfresco.org/model/rule/1.0}rule, 1
2023-09, {http://www.alfresco.org/model/action/1.0}compositeaction, 1
2023-09, {http://www.alfresco.org/model/action/1.0}actioncondition, 1
2023-09, {http://www.alfresco.org/model/action/1.0}actionparameter, 6
2023-09, {http://www.alfresco.org/model/action/1.0}action, 2
2023-09, {http://www.alfresco.org/model/site/1.0}site, 1
2023-09, {http://www.alfresco.org/model/content/1.0}thumbnail, 7
null, {http://www.alfresco.org/model/system/1.0}store_root, 1
null, {http://www.alfresco.org/model/system/1.0}container, 8
null, {http://www.alfresco.org/model/content/1.0}person, 13
null, {http://www.alfresco.org/model/content/1.0}mlRoot, 1
null, {http://www.alfresco.org/model/content/1.0}authorityContainer, 25
null, {http://www.alfresco.org/model/system/1.0}deleted, 293